Date,Country,Active cases
2020-01-22,United States of America,1
2020-01-23,United States of America,1
2020-01-24,United States of America,2
2020-01-25,United States of America,2
2020-01-26,United States of America,5
2020-01-27,United States of America,5
2020-01-28,United States of America,5
2020-01-29,United States of America,6
2020-01-30,United States of America,6
2020-01-31,United States of America,8
2020-02-01,United States of America,8
2020-02-02,United States of America,8
2020-02-03,United States of America,11
2020-02-04,United States of America,11
2020-02-05,United States of America,11
2020-02-06,United States of America,12
2020-02-07,United States of America,12
2020-02-08,United States of America,12
2020-02-09,United States of America,9
2020-02-10,United States of America,9
2020-02-11,United States of America,10
2020-02-12,United States of America,10
2020-02-13,United States of America,11
2020-02-14,United States of America,11
2020-02-15,United States of America,11
2020-02-16,United States of America,11
2020-02-17,United States of America,11
2020-02-18,United States of America,11
2020-02-19,United States of America,11
2020-02-20,United States of America,11
2020-02-21,United States of America,11
2020-02-22,United States of America,11
2020-02-23,United States of America,11
2020-02-24,United States of America,11
2020-02-25,United States of America,10
2020-02-26,United States of America,10
2020-02-27,United States of America,11
2020-02-28,United States of America,10
2020-02-29,United States of America,17
2020-03-01,United States of America,24
2020-03-02,United States of America,42
2020-03-03,United States of America,60
2020-03-04,United States of America,89
2020-03-05,United States of America,165
2020-03-06,United States of America,216
2020-03-07,United States of America,379
2020-03-08,United States of America,491
2020-03-09,United States of America,565
2020-03-10,United States of America,746
2020-03-11,United States of America,1106
2020-03-12,United States of America,1531
2020-03-13,United States of America,2156
2020-03-14,United States of America,2908
2020-03-15,United States of America,3130
2020-03-16,United States of America,4565
2020-03-17,United States of America,6361
2020-03-18,United States of America,8870
2020-03-19,United States of America,13276
2020-03-20,United States of America,19511
2020-03-21,United States of America,25374
2020-03-22,United States of America,34121
2020-03-23,United States of America,45168
2020-03-24,United States of America,55374
2020-03-25,United States of America,67109
2020-03-26,United States of America,84227
2020-03-27,United States of America,102207
2020-03-28,United States of America,120984
2020-03-29,United States of America,137674
2020-03-30,United States of America,156057
2020-03-31,United States of America,179906
2020-04-01,United States of America,209458
2020-04-02,United States of America,239639
2020-04-03,United States of America,269811
2020-04-04,United States of America,295684
2020-04-05,United States of America,321168
2020-04-06,United States of America,348653
2020-04-07,United States of America,374677
2020-04-08,United States of America,401955
2020-04-09,United States of America,433835
2020-04-10,United States of America,462661
2020-04-11,United States of America,487138
2020-04-12,United States of America,510803
2020-04-13,United States of America,525233
2020-04-14,United States of America,547323
2020-04-15,United States of America,565791
2020-04-16,United States of America,591033
2020-04-17,United States of America,618144
2020-04-18,United States of America,637784
2020-04-19,United States of America,656372
2020-04-20,United States of America,681964
2020-04-21,United States of America,702510
2020-04-22,United States of America,726794
2020-04-23,United States of America,755111
2020-04-24,United States of America,766374
2020-04-25,United States of America,793745
2020-04-26,United States of America,812213
2020-04-27,United States of America,829972
2020-04-28,United States of America,847810
2020-04-29,United States of America,867075
2020-04-30,United States of America,860865
2020-05-01,United States of America,883789
2020-05-02,United States of America,898040
2020-05-03,United States of America,916394
2020-05-04,United States of America,932044
2020-05-05,United States of America,951746
2020-05-06,United States of America,973887
2020-05-07,United States of America,994265
2020-05-08,United States of America,1015380
2020-05-09,United States of America,1025552
2020-05-10,United States of America,1039735
2020-05-11,United States of America,1041425
2020-05-12,United States of America,1065200
2020-05-13,United States of America,1070765
2020-05-14,United States of America,1092816
2020-05-15,United States of America,1111550
2020-05-16,United States of America,1116855
2020-05-17,United States of America,1130529
2020-05-18,United States of America,1140782
2020-05-19,United States of America,1154087
2020-05-20,United States of America,1170393
2020-05-21,United States of America,1190871
2020-05-22,United States of America,1161581
2020-05-23,United States of America,1170490
2020-05-24,United States of America,1184430
