Date,Total active cases
2020-01-22,510
2020-01-23,607
2020-01-24,879
2020-01-25,1349
2020-01-26,2004
2020-01-27,2777
2020-01-28,5336
2020-01-29,5901
2020-01-30,7912
2020-01-31,9480
2020-02-01,11483
2020-02-02,15940
2020-02-03,18825
2020-02-04,22539
2020-02-05,25938
2020-02-06,28665
2020-02-07,31589
2020-02-08,33632
2020-02-09,35930
2020-02-10,37658
2020-02-11,38865
2020-02-12,38773
2020-02-13,52529
2020-02-14,57097
2020-02-15,57692
2020-02-16,58231
2020-02-17,58352
2020-02-18,58243
2020-02-19,56783
2020-02-20,55150
2020-02-21,55062
2020-02-22,52620
2020-02-23,52429
2020-02-24,51001
2020-02-25,49098
2020-02-26,47526
2020-02-27,45949
2020-02-28,43850
2020-02-29,42592
2020-03-01,41966
2020-03-02,40966
2020-03-03,40847
2020-03-04,40091
2020-03-05,40170
2020-03-06,41874
2020-03-07,43347
2020-03-08,44638
2020-03-09,46792
2020-03-10,49366
2020-03-11,54067
2020-03-12,58197
2020-03-13,69829
2020-03-14,77936
2020-03-15,84733
2020-03-16,96368
2020-03-17,108352
2020-03-18,124159
2020-03-19,147928
2020-03-20,174223
2020-03-21,199595
2020-03-22,225848
2020-03-23,265384
2020-03-24,293745
2020-03-25,335361
2020-03-26,385692
2020-03-27,437640
2020-03-28,491484
2020-03-29,536759
2020-03-30,581782
2020-03-31,639071
2020-04-01,699698
2020-04-02,758044
2020-04-03,818885
2020-04-04,849993
2020-04-05,900104
2020-04-06,949934
2020-04-07,986645
2020-04-08,1032791
2020-04-09,1084607
2020-04-10,1138969
2020-04-11,1179159
2020-04-12,1272482
2020-04-13,1308588
2020-04-14,1359232
2020-04-15,1389965
2020-04-16,1444260
2020-04-17,1494894
2020-04-18,1540092
2020-04-19,1577971
2020-04-20,1623301
2020-04-21,1654861
2020-04-22,1696388
2020-04-23,1742724
2020-04-24,1769549
2020-04-25,1815964
2020-04-26,1851012
2020-04-27,1885930
2020-04-28,1919109
2020-04-29,1944225
2020-04-30,1953624
2020-05-01,1995797
2020-05-02,2025136
2020-05-03,2061437
2020-05-04,2097461
2020-05-05,2133192
2020-05-06,2167333
2020-05-07,2207936
2020-05-08,2251038
2020-05-09,2278199
2020-05-10,2311917
2020-05-11,2333849
2020-05-12,2373127
2020-05-13,2393304
2020-05-14,2440078
2020-05-15,2479546
2020-05-16,2509612
2020-05-17,2541687
2020-05-18,2571285
2020-05-19,2607238
2020-05-20,2642816
2020-05-21,2689113
2020-05-22,2677296
2020-05-23,2718757
2020-05-24,2749317
2020-05-25,2766384
2020-05-26,2796777
2020-05-27,2828283
2020-05-28,2871772
2020-05-29,2910240
2020-05-30,2972194
2020-05-31,2998658
2020-06-01,3033017
2020-06-02,3042531
2020-06-03,3067760
2020-06-04,3119626
2020-06-05,3172657
2020-06-06,3225722
2020-06-07,3274453
2020-06-08,3216927
2020-06-09,3250513
2020-06-10,3299071
2020-06-11,3342138
2020-06-12,3385465
2020-06-13,3425921
2020-06-14,3479086
2020-06-15,3511368
2020-06-16,3546097
2020-06-17,3561731
2020-06-18,3613419
2020-06-19,3689830
2020-06-20,3726343
2020-06-21,3776524
2020-06-22,3816398
2020-06-23,3870056
2020-06-24,3919243
2020-06-25,3994052
2020-06-26,4071626
2020-06-27,4134381
2020-06-28,4201158
2020-06-29,4253568
2020-06-30,4302176
2020-07-01,4396580
2020-07-02,4314295
2020-07-03,4396563
2020-07-04,4386455
2020-07-05,4442648
2020-07-06,4476582
2020-07-07,4535178
2020-07-08,4583467
2020-07-09,4667739
2020-07-10,4752642
2020-07-11,4835196
2020-07-12,4907608
2020-07-13,4952446
2020-07-14,5024493
2020-07-15,5087093
2020-07-16,5176333
2020-07-17,5231600
2020-07-18,5306462
2020-07-19,5423943
2020-07-20,5467914
2020-07-21,5518943
2020-07-22,5609072
2020-07-23,5709158
2020-07-24,5753239
2020-07-25,5778224
2020-07-26,5840651
2020-07-27,5890649
2020-07-28,5967028
2020-07-29,6051367
2020-07-30,6109104
2020-07-31,6192950
2020-08-01,6252846
2020-08-02,6339538
2020-08-03,6319411
2020-08-04,6358810
2020-08-05,6414295
2020-08-06,6503809
2020-08-07,6587698
2020-08-08,6640439
2020-08-09,6682096
2020-08-10,6743633
2020-08-11,6691475
2020-08-12,6719884
2020-08-13,6836488
2020-08-14,6849817
2020-08-15,6923778
2020-08-16,6900148
2020-08-17,6893153
2020-08-18,6916928
2020-08-19,6969411
2020-08-20,7026744
2020-08-21,7113212
2020-08-22,7161116
2020-08-23,7146315
2020-08-24,7167506
2020-08-25,7173663
2020-08-26,7225994
2020-08-27,7294638
2020-08-28,7372492
2020-08-29,7419093
2020-08-30,7424216
2020-08-31,7481502
2020-09-01,7481732
2020-09-02,7537172
2020-09-03,7590828
2020-09-04,7683414
2020-09-05,7744388
2020-09-06,7754691
2020-09-07,7766080
2020-09-08,7797909
2020-09-09,7835184
2020-09-10,7911582
2020-09-11,8004216
2020-09-12,8070413
2020-09-13,8118775
2020-09-14,8148083
2020-09-15,8201805
2020-09-16,8273000
2020-09-17,8361588
2020-09-18,8429463
2020-09-19,8477276
2020-09-20,8483885
2020-09-21,8511294
2020-09-22,8570949
2020-09-23,8577168
2020-09-24,8668975
2020-09-25,8752275
2020-09-26,8771521
2020-09-27,8801688
2020-09-28,8829261
2020-09-29,8862573
2020-09-30,8931819
2020-10-01,9017843
2020-10-02,9133884
2020-10-03,9201325
2020-10-04,9233126
2020-10-05,9290278
2020-10-06,9375482
2020-10-07,9463221
2020-10-08,9591490
2020-10-09,9734158
2020-10-10,9880421
2020-10-11,9934802
2020-10-12,10021694
2020-10-13,10137283
2020-10-14,10290935
2020-10-15,10479708
2020-10-16,10673940
2020-10-17,10836196
2020-10-18,10941099
2020-10-19,11115725
2020-10-20,11281456
2020-10-21,11497724
2020-10-22,11731884
2020-10-23,12007466
2020-10-24,12237856
2020-10-25,12386989
2020-10-26,12629739
2020-10-27,12489991
2020-10-28,12728373
2020-10-29,13016914
2020-10-30,13311460
2020-10-31,13531339
2020-11-01,13728141
2020-11-02,14007249
2020-11-03,14290522
2020-11-04,14496162
2020-11-05,14805515
2020-11-06,15141958
2020-11-07,15431636
2020-11-08,15660178
2020-11-09,15898061
2020-11-10,16187741
2020-11-11,16442227
